OBJECTID,ZONING,SPECIAL,HOLD,BYLAWNO,DESCRIPT,LABEL,SHAPE_Length,SHAPE_Area,LASTUPDATE
200,C4,,,,General Commercial,C4,927.447899179108,24558.1676591868,2022/04/26 14:48:42+00
201,C4,,,,General Commercial,C4,418.831105300597,8301.0428408311,2022/04/26 14:48:42+00
202,C4,,,,General Commercial,C4,313.970309349633,5977.84728308929,2022/04/26 14:48:42+00
203,C4,,,,General Commercial,C4,710.251235302337,23118.0293866286,2022/04/26 14:48:42+00
204,C4,,,,General Commercial,C4,684.67538784015,16928.7473692805,2022/04/26 14:48:42+00
205,C4,,,,General Commercial,C4,294.258986796978,4844.81055863919,2022/04/26 14:48:42+00
206,C4,,,,General Commercial,C4,507.330088398406,7683.7491187412,2022/04/26 14:48:42+00
207,C4,,,,General Commercial,C4,596.449936451775,17085.3544558393,2022/04/26 14:48:42+00
208,C4,,,,General Commercial,C4,546.061701669583,10504.415192711,2022/04/26 14:48:42+00
209,C4,,,,General Commercial,C4,455.924998347636,8527.53252138329,2022/08/30 11:44:47+00
210,C4,,,,General Commercial,C4,1906.88019443034,97278.8346818849,2024/08/23 11:27:30+00
211,C4,,,,General Commercial,C4,321.500864610698,3820.46444454682,2022/04/26 14:48:42+00
212,C4,,,,General Commercial,C4,580.456694106582,17718.582299054,2022/08/31 14:15:47+00
213,C4,,,,General Commercial,C4,958.622018956878,24670.1072403343,2022/04/26 14:48:42+00
214,C4,,,,General Commercial,C4,460.799920595186,8518.30539156293,2022/04/26 14:48:42+00
215,C4,,,,General Commercial,C4,141.563764381548,1290.47515431223,2022/04/26 14:48:42+00
216,C4,,,,General Commercial,C4,1634.9499727808,59543.4278390218,2022/04/26 14:48:42+00
217,C4,,,,General Commercial,C4,145.265403573076,1207.58768636023,2022/04/26 14:48:42+00
218,C4,,,,General Commercial,C4,556.738235780883,14508.7413721623,2022/04/26 14:48:42+00
219,C4,,,,General Commercial,C4,462.990271381474,12891.516289642,2022/04/26 14:48:42+00
220,C4,,,,General Commercial,C4,807.18617487371,32331.9659247424,2022/08/31 14:13:09+00
221,C4,,,,General Commercial,C4,464.08432591179,9448.21346446798,2022/04/26 14:48:42+00
222,C4,,,,General Commercial,C4,348.708692110345,6943.45115314329,2022/04/26 14:48:42+00
223,C4,,,,General Commercial,C4,1973.09179487793,80688.5443097546,2022/08/31 14:35:27+00
224,C4,,,,General Commercial,C4,234.49309832054,2958.94856508682,2022/04/26 14:48:42+00
225,C4,,,,General Commercial,C4,313.960886510202,6262.11757835079,2022/04/26 14:48:42+00
226,C4,,,,General Commercial,C4,609.724051706189,11906.0364032259,2022/04/26 14:48:42+00
227,C4,,,,General Commercial,C4,403.842037177434,10189.0091685002,2022/08/30 11:42:45+00
228,C4,,,,General Commercial,C4,308.141760123122,5637.12838430379,2022/04/26 14:48:42+00
229,C4,,,,General Commercial,C4,424.128507627288,7781.19420534868,2022/04/26 14:48:42+00
230,C4,,,,General Commercial,C4,280.086493289319,3996.89937012233,2022/07/22 09:47:56+00
231,C4,,,,General Commercial,C4,720.081882246797,10502.9899248842,2023/04/27 09:27:25+00
232,C4,,,,General Commercial,C4,543.644065495702,11957.5523658117,2022/04/26 14:48:42+00
233,C4,,,,General Commercial,C4,363.361138979672,8160.97941019684,2022/04/26 14:48:42+00
234,C4,,,,General Commercial,C4,360.433281777863,7976.99718547798,2022/10/12 10:34:16+00
235,C4,,,,General Commercial,C4,2077.80456195774,90884.5847309583,2023/03/08 13:48:26+00
236,C4,,,,General Commercial,C4,25.868658781324,20.3351470155977,2022/04/26 14:48:42+00
237,C4,,,,General Commercial,C4,187.70742567907,2291.04540932987,2022/04/26 14:48:42+00
238,C4,,,,General Commercial,C4,195.973900315726,2079.94573554972,2024/05/09 14:44:37+00
239,C4,,,,General Commercial,C4,581.55144770434,13546.5880325342,2022/04/26 14:48:42+00
240,C4,,,,General Commercial,C4,368.480664049737,7358.25659989282,2022/07/22 09:51:30+00
241,C4,,,,General Commercial,C4,258.510719268629,3779.18163736496,2022/04/26 14:48:42+00
242,C4,,,,General Commercial,C4,92.7015512331365,485.991551874136,2022/04/26 14:48:42+00
243,C4,,,,General Commercial,C4,2576.84752741591,119155.397765823,2023/04/21 12:52:26+00
244,C4,,,,General Commercial,C4,213.080462173996,2410.84619606025,2022/04/26 14:48:42+00
245,C4,,,,General Commercial,C4,1257.94374788773,61305.6948868935,2022/04/26 14:48:42+00
246,C4,,,,General Commercial,C4,1600.96062240396,71296.726353282,2022/04/26 14:48:42+00
247,C4,,,,General Commercial,C4,229.538898261282,3337.38001611144,2022/04/26 14:48:42+00
248,C4,,,,General Commercial,C4,195.356622839171,2152.94179734938,2022/07/22 10:10:04+00
249,C4,,,,General Commercial,C4,72.9653287688564,332.273177762635,2022/04/26 14:48:42+00
250,C4,,,,General Commercial,C4,160.076779124592,1056.07640157451,2022/04/26 14:48:43+00
